date,signal,signal_strength,ovn,decision,confidence,expected_return,actual_return,hit
20220105,bearish,-0.001310,0.005870,HOLD,50,0.002000,-0.001310,False
20220207,bearish,-0.002216,-0.000829,BUY,85,0.005920,-0.002216,False
20220308,bullish,0.004389,-0.011519,HOLD,55,-0.002200,0.004389,True
20220406,bullish,0.009743,-0.006966,HOLD,55,-0.002200,0.009743,True
20220504,bullish,0.001506,0.003279,HOLD,55,-0.002200,0.001506,True
20220603,bearish,-0.004093,0.005247,HOLD,50,0.002000,-0.004093,False
20220704,bullish,0.004826,-0.000638,HOLD,55,-0.002200,0.004826,True
20220801,bullish,0.004843,-0.004873,HOLD,55,-0.002200,0.004843,True
20220830,bullish,0.005313,0.003554,HOLD,55,-0.002200,0.005313,True
20220929,bearish,-0.001258,0.009008,HOLD,50,0.002000,-0.001258,False
20221031,bullish,0.003271,0.005034,HOLD,55,-0.002200,0.003271,True
20221128,bearish,-0.001562,-0.005077,BUY,85,0.005920,-0.001562,False
20221226,bearish,-0.002219,-0.002416,BUY,85,0.005920,-0.002219,False
20230126,bullish,0.007711,-0.000175,HOLD,55,-0.002200,0.007711,True
20230223,bullish,0.004585,0.001196,HOLD,55,-0.002200,0.004585,True
20230324,bearish,-0.001182,-0.003004,BUY,85,0.005920,-0.001182,False
20230421,bullish,0.005217,-0.001343,HOLD,55,-0.002200,0.005217,True
20230523,bearish,-0.002162,0.002710,HOLD,50,0.002000,-0.002162,False
20230622,bullish,0.001748,0.000941,HOLD,55,-0.002200,0.001748,True
20230720,bullish,0.000807,-0.001964,HOLD,55,-0.002200,0.000807,True
20230818,bullish,0.006646,-0.007896,HOLD,55,-0.002200,0.006646,True
20230915,bullish,0.010462,0.002401,HOLD,55,-0.002200,0.010462,True
20231020,bearish,-0.004325,-0.004525,BUY,85,0.005920,-0.004325,False
20231117,bullish,0.000527,-0.001176,HOLD,55,-0.002200,0.000527,True
20231215,bullish,0.003453,0.000533,HOLD,55,-0.002200,0.003453,True
20240117,bearish,-0.014710,0.004499,HOLD,50,0.002000,-0.014710,False
20240216,bullish,0.007924,0.008558,HOLD,55,-0.002200,0.007924,True
20240318,bearish,-0.006397,0.003798,HOLD,50,0.002000,-0.006397,False
20240416,bearish,-0.007768,-0.006568,BUY,85,0.005920,-0.007768,False
20240517,bearish,-0.004482,-0.001358,BUY,85,0.005920,-0.004482,False
20240617,bearish,-0.007217,-0.004839,BUY,85,0.005920,-0.007217,False
20240715,bearish,-0.005353,0.005598,HOLD,50,0.002000,-0.005353,False
20240812,bearish,-0.005174,0.003982,HOLD,50,0.002000,-0.005174,False
20240910,bearish,-0.001851,0.000702,HOLD,50,0.002000,-0.001851,False
20241016,bullish,0.016413,-0.005560,HOLD,55,-0.002200,0.016413,True
20241113,bearish,-0.007760,-0.003336,BUY,85,0.005920,-0.007760,False
20241211,bullish,0.016240,-0.001967,HOLD,55,-0.002200,0.016240,True
20250113,bullish,0.004737,-0.004109,HOLD,55,-0.002200,0.004737,True
20250214,bullish,0.012768,0.002672,HOLD,55,-0.002200,0.012768,True
20250317,bullish,0.008584,0.006360,HOLD,55,-0.002200,0.008584,True
20250414,bullish,0.003901,0.002173,HOLD,55,-0.002200,0.003901,True
20250515,bullish,0.002312,-0.008641,HOLD,55,-0.002200,0.002312,True
20250616,bullish,0.021949,0.007990,HOLD,55,-0.002200,0.021949,True
20250714,bullish,0.014189,0.002015,HOLD,55,-0.002200,0.014189,True
20250811,bearish,-0.005086,0.001535,HOLD,50,0.002000,-0.005086,False
20250909,bearish,-0.001080,0.003303,HOLD,50,0.002000,-0.001080,False
20251014,bearish,-0.001602,-0.005945,BUY,85,0.005920,-0.001602,False
20251111,bearish,-0.005617,-0.002890,BUY,85,0.005920,-0.005617,False
20251209,bearish,-0.004645,0.002387,HOLD,50,0.002000,-0.004645,False
20260109,bullish,0.001520,0.006049,HOLD,55,-0.002200,0.001520,True
20260206,bullish,0.009897,-0.006351,HOLD,55,-0.002200,0.009897,True
20260312,bearish,-0.000735,0.002263,HOLD,50,0.002000,-0.000735,False
20260409,bearish,-0.008627,0.006530,HOLD,50,0.002000,-0.008627,False
20260511,bearish,-0.004081,-0.000597,BUY,85,0.005920,-0.004081,False
20260610,bullish,0.003841,-0.014231,HOLD,55,-0.002200,0.003841,True
20260708,bearish,-0.013986,0.002289,HOLD,50,0.002000,-0.013986,False
20260806,bullish,0.017212,0.003030,HOLD,55,-0.002200,0.017212,True
20260904,bearish,-0.019673,0.000394,HOLD,50,0.002000,-0.019673,False
