date,yesterday_signal,yesterday_return,ovn,decision,confidence,expected_return,actual_return,hit
20220105,bearish,-0.002218,0.005870,HOLD,50,0.002000,-0.001310,False
20220207,bullish,0.013542,-0.000147,HOLD,55,-0.002200,-0.003401,False
20220308,bearish,-0.004316,-0.011519,BUY,85,0.005920,0.004389,False
20220406,bearish,-0.001287,-0.006966,BUY,85,0.005920,0.009743,True
20220504,bullish,0.000723,0.003279,HOLD,55,-0.002200,0.001506,True
20220603,bearish,-0.007349,0.003437,HOLD,50,0.002000,-0.004687,False
20220704,bearish,-0.008692,-0.001057,BUY,85,0.005920,0.002365,False
20220801,bearish,-0.000963,-0.005697,BUY,85,0.005920,0.004995,False
20220830,bullish,0.000765,0.003554,HOLD,55,-0.002200,0.005313,True
20220929,bearish,-0.016287,0.009017,HOLD,50,0.002000,0.000453,False
20221031,bullish,0.001859,0.003455,HOLD,55,-0.002200,0.006522,True
20221128,bullish,0.001990,-0.005077,HOLD,55,-0.002200,-0.001562,True
20221226,bearish,-0.000756,-0.002168,BUY,85,0.005920,-0.000035,False
20230126,bearish,-0.002350,-0.000379,BUY,85,0.005920,0.007839,True
20230223,bearish,-0.007095,0.001048,HOLD,50,0.002000,0.004505,True
20230324,bullish,0.003532,-0.004011,HOLD,55,-0.002200,0.001385,True
20230421,bullish,0.000640,-0.001255,HOLD,55,-0.002200,0.005830,True
20230523,bullish,0.001008,0.002443,HOLD,55,-0.002200,-0.003049,False
20230622,bearish,-0.008108,0.000941,HOLD,50,0.002000,0.001748,False
20230720,bearish,-0.004813,-0.001964,BUY,85,0.005920,0.003846,False
20230818,bullish,0.004783,-0.007896,HOLD,55,-0.002200,0.006646,True
20230915,bullish,0.004403,0.002401,HOLD,55,-0.002200,0.010462,True
20231020,bearish,-0.000128,-0.004572,BUY,85,0.005920,-0.004020,False
20231117,bullish,0.003154,-0.001176,HOLD,55,-0.002200,0.000527,True
20231215,bullish,0.001239,0.000224,HOLD,55,-0.002200,0.005679,True
20240117,bearish,-0.007565,0.003721,HOLD,50,0.002000,-0.014715,False
20240216,bearish,-0.010172,0.008666,HOLD,50,0.002000,0.008513,True
20240318,bearish,-0.007789,0.003798,HOLD,50,0.002000,-0.006397,False
20240416,bullish,0.009090,-0.005845,HOLD,55,-0.002200,-0.010170,False
20240517,bearish,-0.001618,-0.000748,BUY,85,0.005920,-0.005433,False
20240617,bullish,0.005680,-0.004839,HOLD,55,-0.002200,-0.007217,False
20240715,bearish,-0.003604,0.005598,HOLD,50,0.002000,-0.005353,False
20240812,bullish,0.001019,0.003982,HOLD,55,-0.002200,-0.005174,False
20240910,bullish,0.014488,0.002036,HOLD,55,-0.002200,-0.002065,False
20241016,bearish,-0.002533,-0.005560,BUY,85,0.005920,0.016413,True
20241113,bearish,-0.005562,-0.003336,BUY,85,0.005920,-0.007760,False
20241211,bullish,0.014854,-0.002408,HOLD,55,-0.002200,0.015704,True
20250113,bullish,0.009431,-0.003614,HOLD,55,-0.002200,0.006107,True
20250214,bearish,-0.000155,0.002672,HOLD,50,0.002000,0.012768,True
20250317,bearish,-0.000590,0.006360,HOLD,50,0.002000,0.008584,True
20250414,bullish,0.010766,0.002173,HOLD,55,-0.002200,0.003901,True
20250515,bullish,0.005901,-0.008641,HOLD,55,-0.002200,0.002312,True
20250616,bearish,-0.004779,0.007629,HOLD,50,0.002000,0.020384,True
20250714,bullish,0.010019,0.002015,HOLD,55,-0.002200,0.014189,True
20250811,bullish,0.003709,0.001958,HOLD,55,-0.002200,-0.002877,False
20250909,bullish,0.000001,0.003303,HOLD,55,-0.002200,-0.001080,True
20251014,bullish,0.007064,-0.005064,HOLD,55,-0.002200,-0.001157,True
20251111,bearish,-0.000032,-0.001867,BUY,85,0.005920,-0.007028,False
20251209,bearish,-0.005752,0.001099,HOLD,50,0.002000,-0.004684,False
20260109,bearish,-0.008115,0.006049,HOLD,50,0.002000,0.001520,False
20260206,bearish,-0.001873,-0.006351,BUY,85,0.005920,0.009897,True
20260312,bearish,-0.002089,0.002263,HOLD,50,0.002000,-0.000735,False
20260409,bearish,-0.008836,0.006530,HOLD,50,0.002000,-0.008627,False
20260511,bullish,0.004039,-0.001150,HOLD,55,-0.002200,-0.010802,False
20260610,bullish,0.029031,-0.013458,HOLD,55,-0.002200,0.004455,True
20260708,bullish,0.015070,0.000649,HOLD,55,-0.002200,-0.012323,False
20260806,bullish,0.000468,0.003030,HOLD,55,-0.002200,0.017212,True
20260904,bullish,0.017184,0.000394,HOLD,55,-0.002200,-0.019673,False
