date,code,market_cap,volume,trade_value,shares
20210104,000020,533491077000,719076,13790571900,27931470
20210105,000020,541870518000,660993,12584640500,27931470
20210106,000020,550249959000,692445,13476518550,27931470
20210107,000020,550249959000,612986,12115962250,27931470
20210108,000020,533491077000,620141,11878868950,27931470
20210111,000020,505559607000,868959,15852595900,27931470
20210112,000020,505559607000,377078,6860414300,27931470
20210113,000020,502766460000,325304,5877440500,27931470
20210114,000020,515335621500,395979,7296845650,27931470
20210115,000020,504163033500,334730,6080264650,27931470
20210118,000020,476231563500,509279,8816609900,27931470
20210119,000020,462265828500,716826,11756879600,27931470
20210120,000020,472041843000,281517,4759553800,27931470
20210121,000020,466455549000,292345,4922045050,27931470
20210122,000020,458076108000,288262,4722681250,27931470
20210125,000020,474834990000,279789,4692148450,27931470
20210126,000020,466455549000,271418,4547931850,27931470
20210127,000020,456679534500,231488,3823631950,27931470
20210128,000020,439920652500,321083,5119124750,27931470
20210129,000020,420368623500,415174,6336125700,27931470
20210201,000020,435730932000,217267,3334425600,27931470
20210202,000020,441317226000,170148,2685077300,27931470
20210203,000020,438524079000,147509,2309637650,27931470
20210204,000020,427351491000,143047,2206814550,27931470
20210205,000020,432937785000,186469,2884710800,27931470
20210208,000020,430144638000,159256,2458330050,27931470
20210209,000020,430144638000,153252,2371968500,27931470
20210210,000020,428748064500,192189,2937588850,27931470
20210215,000020,438524079000,202964,3143727050,27931470
20210216,000020,438524079000,333293,5307202000,27931470
20210217,000020,441317226000,638207,10372671050,27931470
20210218,000020,437127505500,215478,3392096500,27931470
20210219,000020,430144638000,218109,3343243900,27931470
20210222,000020,423161770500,171635,2626597350,27931470
20210223,000020,402213168000,354880,5197743400,27931470
20210224,000020,384057712500,271570,3863884400,27931470
20210225,000020,403609741500,244951,3461826950,27931470
20210226,000020,405006315000,242941,3416881600,27931470
20210302,000020,399420021000,199410,2875280950,27931470
20210303,000020,399420021000,127587,1820518450,27931470
20210304,000020,384057712500,225778,3123444450,27931470
20210305,000020,389644006500,187692,2577829700,27931470
20210308,000020,402213168000,3201857,51094334200,27931470
20210309,000020,411989182500,607724,8958039100,27931470
20210310,000020,396626874000,242598,3519879850,27931470
20210311,000020,391040580000,217350,3071177250,27931470
20210312,000020,399420021000,152528,2160144450,27931470
20210315,000020,400816594500,176810,2538291550,27931470
20210316,000020,410592609000,229193,3362170150,27931470
20210317,000020,418972050000,229342,3409593300,27931470
20210318,000020,416178903000,227040,3427682350,27931470
20210319,000020,416178903000,140595,2081363450,27931470
20210322,000020,409196035500,194753,2883075450,27931470
20210323,000020,409196035500,178875,2628485050,27931470
20210324,000020,399420021000,181575,2618720200,27931470
20210325,000020,396626874000,120178,1705390350,27931470
20210326,000020,396626874000,98410,1396873950,27931470
20210329,000020,396626874000,112767,1600465450,27931470
20210330,000020,395230300500,117105,1665199100,27931470
20210331,000020,398023447500,142773,2018632600,27931470
20210401,000020,392437153500,146791,2076065900,27931470
20210402,000020,403609741500,323722,4702328700,27931470
20210405,000020,400816594500,106239,1529031750,27931470
20210406,000020,393833727000,138948,1970076700,27931470
20210407,000020,402213168000,119400,1708875900,27931470
20210408,000020,417575476500,473907,7053530950,27931470
20210409,000020,420368623500,205650,3084399250,27931470
20210412,000020,432937785000,300002,4607695450,27931470
20210413,000020,427351491000,186169,2860363250,27931470
20210414,000020,441317226000,433602,6793367800,27931470
20210415,000020,435730932000,204149,3189404100,27931470
20210416,000020,430144638000,208989,3224915800,27931470
20210419,000020,431541211500,169881,2622048100,27931470
20210420,000020,431541211500,196856,3043615250,27931470
20210421,000020,435730932000,576694,9085604150,27931470
20210422,000020,432937785000,239113,3714781200,27931470
