date,code,inst,corp,indiv,foreign
20210104,000020,-104688850,199031950,421240350,-515583450
20210105,000020,-286211300,118596500,-26503500,194118300
20210106,000020,8236050,-1940000,-1816841650,1810545600
20210107,000020,-11690300,57704950,313995000,-360009650
20210108,000020,-9095150,595374000,956475850,-1542754700
20210111,000020,-47518100,118500850,186732700,-257715450
20210112,000020,-63237300,365796950,-4916000,-297643650
20210113,000020,-9353500,-23984000,769597300,-736259800
20210114,000020,-13448500,2941600,-248009850,258516750
20210115,000020,-338064350,582091150,-140328250,-103698550
20210118,000020,-4066500,157734350,-186529400,32861550
20210119,000020,-371116250,-197383300,-984809350,1553308900
20210120,000020,-380001050,51222700,331644100,-2865750
20210121,000020,-692702450,50200000,987217650,-344715200
20210122,000020,715300,303429700,-831358150,527213150
20210125,000020,-26709200,268200400,-1240684800,999193600
20210126,000020,59325250,912217950,-532400800,-439142400
20210127,000020,10407050,-170483250,328121850,-168045650
20210128,000020,218880300,7900000,-164831900,-61948400
20210129,000020,-54798850,-576214350,-950888500,1581901700
20210201,000020,2494600,34235000,-752013050,715283450
20210202,000020,-9321150,79000000,245697450,-315376300
20210203,000020,8885150,187600000,-98533400,-97951750
20210204,000020,-4189000,162400000,8172200,-166383200
20210205,000020,8757700,-90694650,-182790000,264726950
20210208,000020,26020500,0,381708150,-407728650
20210209,000020,23613250,-175002600,304458800,-153069450
20210210,000020,-1933950,-123925300,19545650,106313600
20210215,000020,229196950,177725000,-802434300,395512350
20210216,000020,14255350,713695500,270796800,-998747650
20210217,000020,2641550,20284800,2156351350,-2179277700
20210218,000020,22672300,-16125450,231542450,-238089300
20210219,000020,8271250,200782700,242773500,-451827450
20210222,000020,9409850,41505250,-24859800,-26055300
20210223,000020,5341900,-716482800,1194667750,-483526850
20210224,000020,8052900,-114963000,-219218500,326128600
20210225,000020,1822900,1990000,-988306800,984493900
20210226,000020,-9323850,0,-187737750,197061600
20210302,000020,3392700,-63979500,496744400,-436157600
20210303,000020,3879850,-102713250,182120350,-83286950
20210304,000020,-2738400,-882128800,869743150,15124050
20210305,000020,6856100,-5560000,-485302700,484006600
20210308,000020,2019500,1667919300,223106100,-1893044900
20210309,000020,-1764850,224428550,-366055150,143391450
20210310,000020,-2745950,79675000,-98000,-76831050
20210311,000020,31043000,63308500,-227533050,133181550
20210312,000020,48147350,65691500,-237506050,123667200
20210315,000020,141650,34798500,52018400,-86958550
20210316,000020,16398900,136695300,-789590000,636495800
20210317,000020,-13211650,77319500,-300552700,236444850
20210318,000020,16283900,56826300,334155700,-407265900
20210319,000020,8491450,0,-458472200,449980750
20210322,000020,708400,2945000,703770650,-707424050
20210323,000020,-73067250,219867200,-458769150,311969200
20210324,000020,-6692900,-842707300,806227350,43172850
20210325,000020,-50218500,93982600,-73833150,30069050
20210326,000020,12529800,0,62914300,-75444100
20210329,000020,1819650,-112921700,-50170700,161272750
20210330,000020,99050,-4528000,219882750,-215453800
20210331,000020,-42841650,331543450,-197839150,-90862650
20210401,000020,9335400,156843350,101133600,-267312350
20210402,000020,54771050,456907850,-583473250,71794350
20210405,000020,-8368400,43437450,40054450,-75123500
20210406,000020,-2779600,202002000,-122332050,-76890350
20210407,000020,-9494800,29592000,-540433050,520335850
20210408,000020,24392850,305750800,-646816700,316673050
20210409,000020,-135775200,100421500,-151323950,186677650
20210412,000020,57572050,16601250,-468310200,394136900
20210413,000020,52616300,460500,300047450,-353124250
20210414,000020,17814450,-17667900,-314039400,313892850
20210415,000020,67092550,-33472050,364889700,-398510200
20210416,000020,-22257450,-769231250,583513700,207975000
20210419,000020,5492050,-369493800,180700150,183301600
20210420,000020,2015650,-789791650,413447900,374328100
20210421,000020,-8359000,-108522400,-778632700,895514100
20210422,000020,-21543350,-264073500,917555550,-631938700
20210423,000020,19258650,-5213900,-302480250,288435500
20210426,000020,-909900,-226042650,-181218000,408170550
20210427,000020,-10574200,25094000,878721150,-893240950
20210428,000020,-31085900,-309530000,1191072500,-850456600
20210429,000020,4104400,16772800,402044200,-422921400
20210430,000020,5087000,152500,130007900,-135247400
20210503,000020,60753000,67065000,-85367000,-42451000
20210504,000020,14069100,43620000,-421021650,363332550
20210506,000020,12527900,87789800,113450550,-213768250
20210507,000020,-20039950,122358000,-66753750,-35564300
20210510,000020,30177550,0,-307402900,277225350
20210511,000020,162949450,2974250,-129866000,-36057700
20210512,000020,-10406250,79349050,184039150,-252981950
20210513,000020,21655600,-2102100,-124693150,105139650
20210514,000020,118161650,175785750,-296435900,2488500
20210517,000020,-7061350,-119400,-156455950,163636700
20210518,000020,57701550,15597650,-189433400,116134200
20210520,000020,-111700050,-440020950,726483850,-174762850
20210521,000020,9779050,-190656000,81716800,99160150
20210524,000020,23255800,-397435350,639022100,-264842550
20210525,000020,1449700,57550,61296100,-62803350
20210526,000020,6462900,72250000,-124679600,45966700
20210527,000020,1766650,135365150,-195143000,58011200
20210528,000020,-1986450,10160000,-58806100,50632550
20210531,000020,94120250,146055550,-442414900,202239100
20210601,000020,-8995700,5800000,275786700,-272591000
20210602,000020,-943750,122928000,22486600,-144470850
20210603,000020,1645050,124169000,-60567150,-65246900
20210604,000020,29457350,354000,-92164250,62352900
20210607,000020,71878350,60680000,-886107500,753549150
20210608,000020,12763200,12195000,735621900,-760580100
20210609,000020,9712500,236358900,269768050,-515839450
20210610,000020,412549950,-7554450,-753214950,348219450
20210611,000020,-127965000,-214503150,640041000,-297572850
20210614,000020,-174167750,0,383677700,-209509950
20210615,000020,-205735300,60363100,481928800,-336556600
20210616,000020,-210118650,-1158582000,1368373300,327350
20210617,000020,-296150550,0,753318250,-457167700
20210618,000020,-2306050,-455570100,707805850,-249929700
20210621,000020,53300550,6549000,-106257550,46408000
20210622,000020,87245300,10488000,227320900,-325054200
20210623,000020,110378500,352800,-135850400,25119100
20210624,000020,212660550,836472850,-2033854350,984720950
20210625,000020,35248450,11397000,-456305400,409659950
20210628,000020,115125700,74855000,-258864650,68883950
20210629,000020,-51525500,173776050,11060050,-133310600
20210630,000020,-10859700,-32532050,-203178700,246570450
20210701,000020,79644500,8585250,-852038900,763809150
20210702,000020,-25847350,-790000,-190124400,216761750
20210705,000020,10435350,-204939650,1499928750,-1305424450
20210706,000020,10206700,54487300,593345050,-658039050
20210707,000020,-29642350,-332338400,-650376100,1012356850
20210708,000020,5741400,66771500,485678250,-558191150
20210709,000020,36206550,-971568800,619967950,315394300
20210712,000020,70930800,-236609200,473130900,-307452500
20210713,000020,-20789650,-489380000,636099200,-125929550
20210714,000020,-41494950,4447550,363176550,-326129150
20210715,000020,-112845950,-1480000,220726750,-106400800
20210716,000020,31975250,0,177845250,-209820500
20210719,000020,17042500,85730750,100055000,-202828250
20210720,000020,18211400,-10454950,52825450,-60581900
20210721,000020,-309500,18829800,256959450,-275479750
20210722,000020,-22276050,0,13971450,8304600
20210723,000020,-1392800,36914750,-35539500,17550
20210726,000020,15335300,448633500,-347468000,-116500800
20210727,000020,15238950,67957850,-137332100,54135300
20210728,000020,3042600,57400000,-113984200,53541600
20210729,000020,-800750,168570900,-193670250,25900100
20210730,000020,25486500,38370000,-7274700,-56581800
20210802,000020,26381050,-36571050,-50036650,60226650
20210803,000020,-7323550,-10416850,-491536350,509276750
20210804,000020,33175550,-76085750,164936900,-122026700
20210805,000020,14404000,-70673700,15143300,41126400
20210806,000020,-10893450,0,-71229800,82123250
20210809,000020,-14865350,10985600,-410658200,414537950
20210810,000020,20173400,-104650,67675900,-87744650
20210811,000020,-66210200,-93766400,156017850,3958750
20210812,000020,-301200,-93290000,-374198750,467789950
20210813,000020,20461100,21345000,511542100,-553348200
20210817,000020,-43497850,-86684200,262127100,-131945050
20210818,000020,51556900,-30133850,-955139050,933716000
20210819,000020,20554800,0,799328600,-819883400
20210820,000020,-8934300,363750000,25857850,-380673550
20210823,000020,20441350,5088750,-297031200,271501100
20210824,000020,-5180000,-6366400,-1497830300,1509376700
20210825,000020,-14311950,14900,139287000,-124989950
20210826,000020,-12311550,-321478250,226860250,106929550
20210827,000020,13468500,-202603950,57700750,131434700
20210830,000020,-20276150,0,289017000,-268740850
20210831,000020,-11451900,-9011650,177325900,-156862350
20210901,000020,-7365450,-20989250,-285950700,314305400
20210902,000020,2020650,170428050,-743909800,571461100
20210903,000020,-17199450,15416900,-952812950,954595500
20210906,000020,-64389850,143733350,-1436504850,1357161350
20210907,000020,-7932200,-56307300,1185206400,-1120966900
20210908,000020,4429350,581933450,-294078950,-292283850
20210909,000020,-468038400,1475000,596920400,-130357000
20210910,000020,-40225250,75613750,-34520300,-868200
20210913,000020,49436250,241144800,-3085500,-287495550
20210914,000020,-42147950,0,243145000,-200997050
20210915,000020,40154100,10000,-455561450,415397350
20210916,000020,14000150,10184000,-379740150,355556000
20210917,000020,-1668400,60415200,546393200,-605140000
20210923,000020,-50708100,-586700550,2266512050,-1629103400
20210924,000020,1135214250,-55070800,-2432428250,1352284800
20210927,000020,-670993900,-2436500,2428271800,-1754841400
20210928,000020,145139050,-2076357600,3074252150,-1143033600
20210929,000020,931214200,-1059997200,-749005250,877788250
20210930,000020,-492661350,-2578907200,3174022800,-102454250
20211001,000020,53161250,-386111050,-2775144000,3108093800
20211005,000020,-1069800900,790596150,2457557750,-2178353000
20211006,000020,1059502350,-4686096100,5913756200,-2287162450
20211007,000020,178645950,-1050098250,-3292060700,4163513000
20211008,000020,107981750,-142491550,3107084950,-3072575150
20211012,000020,-888969600,0,2431871100,-1542901500
20211013,000020,-148609250,22917250,1522850700,-1397158700
20211014,000020,21471000,-33336350,-428368150,440233500
20211015,000020,18171900,-70010450,1604555350,-1552716800
20211018,000020,71284650,69757850,-744177700,603135200
20211019,000020,-12200,3619750,380661150,-384268700
20211020,000020,-18957300,107924800,-820575400,731607900
20211021,000020,12896800,-11318200,-167678500,166099900
20211022,000020,-990500,2228900,181446050,-182684450
20211025,000020,-26975450,0,-86608600,113584050
20211026,000020,-10939500,5825850,-94438300,99551950
20211027,000020,-1795400,-1856000,116425600,-112774200
20211028,000020,60250,4146300,-432638600,428432050
20211029,000020,-66304350,-196723200,1166274950,-903247400
20211101,000020,-320014650,7227500,637272400,-324485250
20211102,000020,-281317750,6519750,-96256600,371054600
20211103,000020,-132822900,2596250,-739677100,869903750
20211104,000020,9895550,-23592200,-474607300,488303950
