date,us_sp500,us_nasdaq,us_dow,us_sox,us_vix_chg,us_vix_level,fx_krw,kr_vol20,kr_breadth5,kr_ret5,flow_foreign,flow_inst,flow_indiv,result_c2c,result_o2c,result_breadth,us_tnx_level,us_tnx_chg
20250102,-0.4285,-0.9032,-0.0693,-0.9267,-0.2874,17.35,-0.3673,2.3059,43.49,0.0305,24.3965,15.9088,-59.6946,1.7993,1.4485,64.17,0.457,0.6161
20250103,-0.2224,-0.1554,-0.3572,0.8347,3.3429,17.93,0.4177,2.3164,41.4,0.181,-32.7639,-20.9811,46.255,1.7729,1.6894,77.56,0.457,0.0437
20250106,1.2596,1.768,0.8017,2.8308,-10.039,16.13,-0.1269,2.3182,49.81,2.3161,24.2212,22.892,-52.8868,1.7606,1.2646,73.39,0.46,0.459
20250107,0.5538,1.24,-0.0598,2.837,-0.558,16.04,-0.4159,2.3069,59.0,4.8634,32.327,8.9251,-58.7479,0.1255,-0.2596,43.69,0.462,0.4787
20250108,-1.1104,-1.8893,-0.4173,-1.8435,11.0972,17.82,-0.4149,2.2748,64.42,6.6404,42.343,-26.2855,-31.3715,0.4154,0.6136,50.3,0.468,1.4075
20250109,0.156,-0.0554,0.2512,-0.9574,-0.6734,17.7,-0.5187,2.2267,61.82,5.8736,39.0545,-6.5369,-54.4086,0.0934,0.0178,40.76,0.469,0.2135
20250110,,,,,,17.7,0.4195,1.8011,57.14,4.1677,47.2037,-31.969,-20.8273,0.1028,-0.1153,44.81,0.469,
20250113,-1.5412,-1.6287,-1.6342,-2.4191,10.3955,19.54,-0.1879,1.3835,50.59,2.4976,-10.1746,-42.5024,47.323,-1.0385,-0.9083,23.85,0.478,1.7686
20250114,0.1575,-0.3837,0.8552,-0.346,-1.7912,19.19,1.1696,1.1817,40.68,-0.3014,-51.043,-1.404,47.5529,0.7339,0.5843,60.93,0.48,0.5653
20250115,0.1146,-0.229,0.5229,0.5161,-2.5013,18.71,-0.9075,1.1821,44.13,0.307,-56.216,1.5469,42.2371,-0.5922,-0.9613,29.29,0.479,-0.3123
20250116,1.8313,2.4513,1.654,2.1348,-13.8429,16.12,0.1062,1.1518,39.93,-0.7005,-17.9551,-37.948,44.097,1.2015,0.4792,68.66,0.465,-2.8196
20250117,-0.2113,-0.8864,-0.1583,0.1803,2.9777,16.6,-1.5899,1.1573,45.51,0.4076,45.4914,6.5422,-47.9664,0.0207,-0.1105,41.43,0.461,-1.0101
20250120,0.9991,1.5095,0.7756,2.8429,-3.7952,15.97,1.1202,1.1566,44.83,0.3255,-42.2186,-10.1262,47.6552,0.1078,-0.1914,42.39,0.461,0.0651
20250121,,,,,,15.97,0.2794,1.1512,48.54,1.4717,-53.0241,5.5984,41.3775,-0.2487,-0.51,39.73,0.461,
20250122,0.8768,0.6448,1.2371,1.295,-5.6982,15.06,-1.4993,1.1048,44.3,0.4891,-56.7448,12.8871,30.3681,0.2487,-0.1657,44.96,0.457,-0.7594
20250123,0.6138,1.2783,0.2974,1.688,0.2656,15.1,-0.6785,0.9668,47.43,1.33,20.7154,27.6141,-51.6706,-1.4286,-1.5889,19.31,0.46,0.5466
20250124,0.5313,0.2216,0.9248,-0.4498,-0.5298,15.02,0.5997,0.9888,37.56,-1.3002,-38.8088,-12.5744,48.6167,0.6437,0.4106,56.67,0.464,0.848
20250131,0.5275,0.2518,0.3771,2.286,-4.3478,15.84,0.0042,0.9859,40.61,-0.6772,38.6099,7.2524,-54.1377,-0.4863,-0.3571,34.62,0.451,-0.944
20250203,-0.5047,-0.2759,-0.7519,-0.2918,3.7247,16.43,-0.115,0.9726,39.06,-1.2712,-48.1085,12.6686,39.2228,-2.5926,-1.8069,13.79,0.457,1.2633
20250204,-0.7609,-1.1997,-0.2756,-1.815,13.3293,18.62,1.0488,1.0797,33.87,-3.6151,-33.4727,-18.4204,48.1068,1.8602,1.314,77.54,0.454,-0.569
