date,ticker,kr_open,kr_mid,kr_close,kr_session_chg,bars
20240926,ES=F,5807.25,,5815.25,0.1378,2
20240926,NQ=F,20379.0,,20418.5,0.1938,2
20240927,ES=F,5804.5,5802.0,5804.75,0.0043,14
20240927,NQ=F,20336.0,20319.75,20319.5,-0.0811,14
20240928,ES=F,5802.5,,5786.75,-0.2714,6
20240928,NQ=F,20235.5,,20193.0,-0.21,6
20240930,ES=F,5798.0,5795.5,5788.0,-0.1725,8
20240930,NQ=F,20247.0,20220.25,20172.5,-0.368,8
20241001,ES=F,5813.0,5815.0,5810.25,-0.0473,14
20241001,NQ=F,20269.0,20285.5,20251.25,-0.0876,14
20241002,ES=F,5755.25,5759.75,5748.0,-0.126,14
20241002,NQ=F,19949.75,19983.0,19920.5,-0.1466,14
20241003,ES=F,5759.75,5750.5,5747.75,-0.2083,14
20241003,NQ=F,19998.75,19947.5,19939.0,-0.2988,14
20241004,ES=F,5748.0,5752.75,5752.25,0.0739,14
20241004,NQ=F,19981.25,20011.75,20015.25,0.1702,14
20241005,ES=F,5774.0,,5795.5,0.3724,6
20241005,NQ=F,20141.5,,20202.25,0.3016,6
20241007,ES=F,5797.5,5796.25,5791.25,-0.1078,8
20241007,NQ=F,20218.0,20219.75,20189.75,-0.1397,8
20241008,ES=F,5751.25,5742.0,5743.25,-0.1391,14
20241008,NQ=F,20015.5,19977.75,19979.0,-0.1824,14
20241009,ES=F,5795.25,5789.75,5788.0,-0.1251,14
20241009,NQ=F,20277.75,20235.5,20232.25,-0.2244,14
20241010,ES=F,5839.5,5842.5,5836.0,-0.0599,14
20241010,NQ=F,20452.25,20472.25,20443.0,-0.0452,14
20241011,ES=F,5833.5,5834.0,5828.75,-0.0814,14
20241011,NQ=F,20447.75,20457.75,20425.0,-0.1113,14
20241012,ES=F,5861.5,,5853.25,-0.1407,6
20241012,NQ=F,20469.25,,20413.25,-0.2736,6
20241014,ES=F,5855.25,5855.5,5857.0,0.0299,8
20241014,NQ=F,20415.0,20408.75,20431.0,0.0784,8
20241015,ES=F,5909.5,5914.0,5909.5,0.0,14
20241015,NQ=F,20603.0,20633.0,20607.5,0.0218,14
20241016,ES=F,5863.75,5868.5,5867.0,0.0554,14
20241016,NQ=F,20356.5,20389.75,20392.0,0.1744,14
20241017,ES=F,5878.75,5874.0,5880.75,0.034,14
20241017,NQ=F,20314.0,20295.5,20341.5,0.1354,14
20241018,ES=F,5884.25,5884.25,5888.25,0.068,14
20241018,NQ=F,20360.5,20362.0,20404.75,0.2173,14
20241019,ES=F,5900.0,,5907.5,0.1271,6
20241019,NQ=F,20469.0,,20484.25,0.0745,6
20241021,ES=F,5912.75,5908.0,5902.75,-0.1691,8
20241021,NQ=F,20510.75,20479.5,20448.5,-0.3035,8
20241022,ES=F,5888.0,5885.25,5883.25,-0.0807,14
20241022,NQ=F,20476.5,20466.75,20453.25,-0.1135,14
20241023,ES=F,5884.0,5887.0,5886.75,0.0467,14
20241023,NQ=F,20497.0,20513.5,20507.0,0.0488,14
20241024,ES=F,5852.25,5849.75,5849.5,-0.047,14
20241024,NQ=F,20337.25,20320.25,20324.0,-0.0652,14
20241025,ES=F,5852.75,5846.75,5849.5,-0.0555,14
20241025,NQ=F,20397.0,20373.0,20389.75,-0.0355,14
20241026,ES=F,5876.5,,5841.5,-0.5956,6
20241026,NQ=F,20620.25,,20476.0,-0.6996,6
20241028,ES=F,5874.75,5872.75,5869.5,-0.0894,8
20241028,NQ=F,20614.75,20615.5,20607.75,-0.034,8
20241029,ES=F,5861.0,5852.0,5859.5,-0.0256,14
20241029,NQ=F,20513.25,20462.0,20507.0,-0.0305,14
20241030,ES=F,5890.5,5881.5,5876.25,-0.2419,14
20241030,NQ=F,20767.75,20729.0,20709.5,-0.2805,14
20241031,ES=F,5832.0,5827.5,5823.0,-0.1543,14
20241031,NQ=F,20437.25,20420.5,20392.0,-0.2214,14
20241101,ES=F,5743.75,5748.0,5753.25,0.1654,14
20241101,NQ=F,20073.75,20086.5,20120.5,0.2329,14
20241102,ES=F,5784.0,,5760.0,-0.4149,6
20241102,NQ=F,20221.75,,20170.25,-0.2547,6
20241104,ES=F,5749.25,5769.25,5772.0,0.3957,7
20241104,NQ=F,20130.0,20219.0,20230.5,0.4993,7
20241105,ES=F,5740.75,5745.75,5746.75,0.1045,14
20241105,NQ=F,20076.0,20102.75,20103.0,0.1345,14
20241106,ES=F,5838.25,5882.0,5883.75,0.7793,14
20241106,NQ=F,20389.5,20593.25,20583.75,0.9527,14
20241107,ES=F,5952.75,5964.0,5969.25,0.2772,14
20241107,NQ=F,20874.0,20917.0,20949.5,0.3617,14
20241108,ES=F,6003.75,6003.0,6007.5,0.0625,14
20241108,NQ=F,21224.25,21226.75,21251.75,0.1296,14
20241109,ES=F,6021.25,,6023.5,0.0374,7
20241109,NQ=F,21197.5,,21226.75,0.138,7
20241111,ES=F,6033.0,6034.25,6036.25,0.0539,7
