timestamp,kosdaq_prsn_ntby_qty,kosdaq_frgn_ntby_qty,kosdaq_orgn_ntby_qty
2026-09-02T09:05:08,124,,
2026-09-02T09:15:04,1814,,
2026-09-02T09:25:04,2210,,
2026-09-02T09:35:05,2037,,
2026-09-02T09:45:04,3167,,
2026-09-02T09:55:04,4097,,
2026-09-02T10:05:04,5142,,
2026-09-02T10:15:04,5193,,
2026-09-02T10:25:06,5345,,
2026-09-02T10:35:04,5785,,
2026-09-02T10:45:04,6177,,
2026-09-02T10:55:04,6672,,
2026-09-02T11:05:04,6635,,
2026-09-02T11:15:04,5810,,
2026-09-02T11:25:04,5384,,
2026-09-02T11:35:04,6438,,
2026-09-02T11:45:04,7415,,
2026-09-02T11:55:06,7505,,
2026-09-02T12:05:04,7981,,
2026-09-02T12:15:04,8132,,
2026-09-02T12:25:06,8625,,
2026-09-02T12:35:05,9179,,
2026-09-02T12:45:05,9196,,
2026-09-02T12:55:05,9399,,
2026-09-02T14:32:37,8785,,
2026-09-02T14:42:37,8957,,
2026-09-02T14:52:44,8166,,
2026-09-02T15:02:37,8643,,
2026-09-02T15:12:37,8418,,
2026-09-03T10:32:44,7937,-8200,133
2026-09-03T10:32:44,7937,-8200,133
2026-09-03T10:42:37,7641,-7917,183
2026-09-03T10:52:36,8308,-8601,154
2026-09-03T11:02:36,9314,-9648,121
2026-09-03T11:12:35,9381,-9842,225
2026-09-03T11:22:35,9017,-9539,193
2026-09-03T14:51:05,13396,-14045,23
2026-09-03T15:01:10,13220,-13720,-212
2026-09-03T15:11:04,12866,-13296,-344
2026-09-04T10:30:17,2663,-1106,-1134
2026-09-04T10:40:11,2328,-771,-1160
2026-09-04T10:50:10,2034,-387,-1233
2026-09-04T11:00:12,1258,403,-1247
2026-09-04T11:10:10,-324,2032,-1214
2026-09-04T11:20:13,-1300,2973,-1147
2026-09-04T11:30:11,-1376,2998,-1117
2026-09-04T11:40:09,-1224,2744,-1046
2026-09-04T11:50:10,-2467,3902,-954
2026-09-04T12:00:12,-3083,4479,-924
2026-09-04T12:10:12,-3482,4769,-819
2026-09-04T12:20:08,-3413,4623,-745
2026-09-04T12:30:05,-3267,4437,-723
2026-09-04T12:40:05,-3816,4931,-657
2026-09-04T12:50:06,-4244,5302,-636
2026-09-04T13:00:05,-4663,5523,-612
2026-09-04T13:20:04,-4493,5334,-540
2026-09-04T13:30:05,-4506,5402,-625
2026-09-04T13:40:05,-4802,5641,-571
2026-09-04T13:50:06,-5132,5907,-525
2026-09-04T14:00:05,-5678,6379,-485
2026-09-04T14:10:05,-6020,6674,-460
2026-09-04T14:20:07,-6789,7344,-397
2026-09-04T14:30:05,-6953,7495,-415
2026-09-04T14:40:05,-7435,7857,-396
2026-09-04T14:50:04,-7457,7854,-518
2026-09-04T15:00:05,-8001,8345,-540
2026-09-04T15:10:04,-8253,8616,-537
2026-09-07T19:50:52,14272,-9136,-5571
2026-09-08T09:05:05,16,424,-360
2026-09-08T09:15:04,-377,1030,-614
2026-09-08T09:25:06,865,-253,-747
2026-09-08T09:35:06,1569,-860,-970
2026-09-08T09:45:03,4383,-3384,-1417
2026-09-08T09:55:03,4470,-3247,-1591
2026-09-08T10:05:06,6722,-5430,-1712
2026-09-08T10:15:04,4976,-3611,-1817
2026-09-08T10:25:05,4808,-3033,-2225
2026-09-08T10:35:03,5054,-3155,-2362
2026-09-08T10:45:03,6103,-4127,-2497
2026-09-08T10:55:03,6526,-4435,-2622
2026-09-08T11:05:03,6419,-4224,-2710
2026-09-08T11:15:03,6261,-3923,-2803
2026-09-08T11:25:03,6342,-3987,-2880
2026-09-08T11:35:03,5951,-3577,-2909
2026-09-08T11:45:03,6412,-4014,-3010
2026-09-08T11:55:03,6840,-4390,-3107
2026-09-08T12:05:03,7204,-4752,-3169
2026-09-08T12:15:03,6764,-4272,-3235
2026-09-08T12:25:03,6733,-4211,-3321
2026-09-08T12:35:03,6879,-4401,-3332
2026-09-08T12:45:05,7250,-4719,-3421
2026-09-08T12:55:03,7621,-4943,-3542
2026-09-08T13:05:03,8341,-5548,-3699
2026-09-08T13:15:03,8255,-5475,-3724
2026-09-08T13:25:03,8050,-5240,-3790
2026-09-08T13:35:03,7818,-4942,-3851
2026-09-08T13:45:03,7934,-5124,-3823
2026-09-08T13:55:03,8115,-5313,-3828
2026-09-08T14:05:03,8439,-5583,-3892
2026-09-08T14:15:03,9197,-6024,-4282
2026-09-08T14:25:03,9133,-6125,-4238
2026-09-08T14:35:03,9688,-6692,-4321
2026-09-08T14:45:06,10105,-7273,-4327
2026-09-08T14:55:03,11067,-8473,-4412
2026-09-08T15:05:05,11691,-9190,-4509
2026-09-08T15:15:03,11502,-9023,-4674
2026-09-08T15:25:04,12166,-9516,-4960
2026-09-09T09:05:07,-4532,4875,-201
2026-09-09T09:15:08,-7508,7963,-215
2026-09-09T09:25:06,-6179,6611,-198
2026-09-09T09:35:04,-3175,3585,-126
2026-09-09T09:45:08,-3885,4405,-67
2026-09-09T09:55:06,-4190,4687,8
2026-09-09T10:05:06,-4851,5419,-40
2026-09-09T10:15:06,-4548,5125,14
2026-09-09T10:25:04,-3998,4583,-39
2026-09-14T09:05:08,1274,-553,-595
2026-09-14T09:15:03,1006,-183,-706
2026-09-14T09:25:03,1198,-503,-599
2026-09-14T09:35:04,2567,-1948,-539
2026-09-14T09:45:07,4305,-3832,-443
2026-09-14T09:55:04,4468,-4034,-355
2026-09-14T10:05:08,5002,-4686,-325
2026-09-14T10:15:04,5818,-5565,-226
2026-09-14T10:25:04,6519,-6367,-214
2026-09-14T10:35:04,6624,-6466,-213
2026-09-14T10:45:04,6473,-6317,-126
2026-09-14T10:55:04,6381,-6196,-104
2026-09-14T11:05:06,5899,-5709,-103
2026-09-14T11:15:04,5366,-5174,-70
2026-09-14T11:25:05,4403,-4282,-12
2026-09-14T11:35:08,4042,-3949,59
2026-09-14T11:45:04,3878,-3896,185
2026-09-14T11:55:04,3795,-3870,249
2026-09-14T12:05:05,3884,-4029,319
2026-09-14T12:15:03,2989,-3310,507
2026-09-14T12:25:03,3087,-3459,596
2026-09-14T12:35:03,3630,-4085,656
2026-09-14T12:45:03,4060,-4605,706
2026-09-14T12:55:04,4033,-4694,794
2026-09-14T13:05:03,4202,-4871,904
2026-09-14T13:15:03,3908,-4711,989
2026-09-14T13:25:03,4396,-5402,1039
2026-09-14T13:35:04,4621,-5727,970
2026-09-14T13:45:04,4899,-6073,929
2026-09-14T13:55:04,5246,-6378,843
2026-09-14T14:05:04,5442,-6554,774
2026-09-14T14:15:04,5625,-6860,788
2026-09-14T14:25:03,6474,-7888,855
2026-09-14T14:35:04,6363,-7813,815
2026-09-14T14:45:04,6091,-7728,822
2026-09-14T14:55:04,5678,-7645,952
2026-09-14T15:05:08,4941,-7324,1202
2026-09-14T15:15:05,4405,-7063,1303
2026-09-14T15:25:03,3759,-6830,1360
2026-09-15T09:41:19,-346,-386,599
2026-09-15T09:51:14,-186,-724,825
2026-09-15T10:01:15,-993,-310,1121
2026-09-15T10:11:14,-2244,681,1365
2026-09-15T10:21:15,-4477,2538,1789
2026-09-15T10:31:16,-4983,2675,2129
2026-09-15T10:41:15,-5102,2530,2389
2026-09-15T10:51:15,-5331,2503,2661
2026-09-15T11:01:14,-5887,3019,2702
2026-09-15T11:11:15,-6182,3227,2818
2026-09-15T11:21:14,-6279,3223,2904
2026-09-15T11:31:15,-6344,3224,2971
2026-09-15T11:41:14,-6406,3163,3053
2026-09-15T11:51:15,-6147,2810,3131
