opened_at,closed_at,code,name,qty,avg_price,close_price,note,realized_pnl,strategy
2026-09-04T11:30:22,2026-09-04T12:20:29,007460,에이프로젠,169,2360,2260,가상 손절: 종목 -4.2% - 코스피 +0.1% = 상대 -4.4% (기준 -3.7%),-17705,default
2026-09-08T09:05:19,2026-09-08T09:25:28,0015N0,아로마티카,40,9920,10300,가상 익절,14337,momentum
2026-09-07T19:51:42,2026-09-08T09:35:27,003060,에이프로젠바이오로직스,220,1818,1742,가상 손절: 종목 -4.2% (기준 -4.0%),-17527,low_vol
2026-09-07T19:51:42,2026-09-08T09:35:27,003060,에이프로젠바이오로직스,220,1818,1742,가상 손절: 종목 -4.2% (기준 -4.0%),-17527,value
2026-09-08T09:25:28,2026-09-08T09:45:27,189860,서전기전,73,5450,5130,가상 손절: 종목 -5.9% (기준 -4.0%),-24150,momentum
2026-09-07T19:51:42,2026-09-08T10:05:31,115180,큐리언트,15,25750,24500,가상 손절: 종목 -4.9% (기준 -4.0%),-19525,trend
2026-09-08T09:45:27,2026-09-08T10:15:31,004310,현대약품,42,9460,10580,가상 익절,46114,momentum
2026-09-07T19:51:42,2026-09-08T11:35:33,007460,에이프로젠,188,2120,2035,가상 손절: 종목 -4.0% (기준 -4.0%),-16786,value
2026-09-07T19:51:42,2026-09-08T13:55:34,212560,네오오토,33,11880,13090,가상 익절,39029,momentum
2026-09-07T19:51:42,2026-09-08T13:55:34,212560,네오오토,33,11880,13090,가상 익절,39029,trend
2026-09-08T10:15:31,2026-09-08T14:05:34,004310,현대약품,37,10580,10080,가상 손절: 종목 -4.7% (기준 -4.0%),-19286,momentum
2026-09-08T10:05:31,2026-09-08T14:05:34,115180,큐리언트,16,24500,23450,가상 손절: 종목 -4.3% (기준 -4.0%),-17590,trend
2026-09-08T09:15:28,2026-09-08T15:05:38,051980,중앙첨단소재,360,1111,1065,가상 손절: 종목 -4.1% (기준 -4.0%),-17368,low_vol
2026-09-08T14:05:34,2026-09-09T09:25:21,115180,큐리언트,17,23450,22300,가상 손절: 종목 -4.9% (기준 -4.0%),-20349,trend
2026-09-08T14:05:34,2026-09-09T09:35:23,004310,현대약품,39,10080,11150,가상 익절,40823,momentum
2026-09-09T09:35:23,2026-09-09T09:45:28,046970,우리로,63,6300,6570,가상 익절,16143,momentum
2026-09-08T13:55:34,2026-09-09T10:05:32,950250,테라뷰,132,3015,2860,가상 손절: 종목 -5.1% (기준 -4.0%),-21256,trend
2026-09-08T09:35:27,2026-09-14T09:05:18,003060,에이프로젠바이오로직스,229,1742,1640,가상 손절: 종목 -5.9% (기준 -4.0%),-24150,low_vol
2026-09-08T09:35:27,2026-09-14T09:05:18,003060,에이프로젠바이오로직스,229,1742,1640,가상 손절: 종목 -5.9% (기준 -4.0%),-24150,value
2026-09-09T09:25:21,2026-09-14T09:15:19,115180,큐리언트,17,22300,21350,가상 손절: 종목 -4.3% (기준 -4.0%),-16915,trend
2026-09-08T15:05:38,2026-09-14T10:15:22,127120,제이에스링크,12,32100,30700,가상 손절: 종목 -4.4% (기준 -4.0%),-17576,low_vol
2026-09-09T09:45:28,2026-09-14T12:25:29,046970,우리로,60,6570,7580,가상 익절,59654,momentum
2026-09-09T10:05:32,2026-09-14T12:25:29,046970,우리로,60,6570,7580,가상 익절,59654,trend
2026-09-14T09:15:19,2026-09-14T13:25:29,115180,큐리언트,18,21350,22400,가상 익절,18056,trend
2026-09-14T12:25:29,2026-09-14T13:55:32,069540,빛과전자,88,4510,4290,가상 손절: 종목 -4.9% (기준 -4.0%),-20156,momentum
2026-09-14T13:25:29,2026-09-15T11:52:27,115180,큐리언트,17,22400,21500,가상 손절: 종목 -4.0% (기준 -4.0%),-16070,trend
2026-09-08T11:35:33,2026-09-15T14:32:25,007460,에이프로젠,196,2035,1953,가상 손절: 종목 -4.0% (기준 -4.0%),-16878,value
2026-09-15T11:52:27,2026-09-17T09:05:54,115180,큐리언트,18,21500,22500,가상 익절,17152,trend
2026-09-17T09:05:54,2026-09-17T10:06:13,115180,큐리언트,17,22500,23600,가상 익절,17860,trend
2026-09-17T10:06:13,2026-09-17T13:16:37,115180,큐리언트,16,23600,22650,가상 손절: 종목 -4.0% (기준 -4.0%),-15963,trend
2026-09-15T14:32:25,2026-09-18T09:35:30,007460,에이프로젠,204,1953,2045,가상 익절,17895,value
2026-09-14T12:25:29,2026-09-21T09:05:25,017900,광전자,38,10270,11350,가상 익절,40140,trend
2026-09-07T19:51:42,2026-09-22T11:05:37,012210,삼미금속,39,10200,12430,가상 익절,85965,trend
2026-09-17T13:16:37,2026-09-22T11:15:36,115180,큐리언트,17,22650,21700,가상 손절: 종목 -4.2% (기준 -4.0%),-16927,trend
2026-09-22T11:15:36,2026-09-22T15:15:44,115180,큐리언트,18,21700,22700,가상 익절,17145,trend
